pincode,industry_category,industry_category_link,business_link,business_name,business_description,business_category,ISIC_code,business_address,phone_num,website,city,postal,administrative_region,country,placeID,facebook,google,twitter,instagram,linkedIn,foursquare,youtube,pinterest
523370,Hindu temple,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/hindu-temple/,https://www.cybo.com/IN-biz/bhimeswara-swamy-temple_15,Bhimeswara Swamy temple,"Bhimeswara Swamy temple is located in Andhra Pradesh. Bhimeswara Swamy temple is working in Hindu temples, Religion activities.","['Activities of religious organizations', 'Hindu temple']",['9491'],"Ravipadu,AndhraPradesh523370,India",,,andhra pradesh,523370,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJpw9w7fAmtTsRV5z8vywY6yY,,https://www.google.com/maps/?cid=2804361773446896727,,,,,,
523370,Education,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education/,https://www.cybo.com/IN-biz/z-p-high-school-ravipadu_1O,Z.P.HIGH School Ravipadu,Z.P.HIGH School Ravipadu is located in Andhra Pradesh. Z.P.HIGH School Ravipadu is working in Education other activities. You can contact the company at 098665 57586.,['Educational support activities'],['8550'],"Cumbum-RavipaduRd,Ravipadu,AndhraPradesh523370,India",9866557586,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJQbQfG_EmtTsRLYzgmDo_AwQ,,https://www.google.com/maps/?cid=289144321987349549,,,,,,
523370,Electrical installation,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/electrical-installation/,https://www.cybo.com/IN-biz/pwer-station,Pwer Station,Pwer Station is located in Andhra Pradesh. Pwer Station is working in Electrical installation activities.,['Electrical installation'],['4321'],"PedaObeneniPalle,AndhraPradesh523370,India",,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJdRb3Wq0ntTsROjj9caFv3Z4,,https://www.google.com/maps/?cid=11447428567038507066,,,,,,
523370,Education,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education/,https://www.cybo.com/IN-biz/sankar-reddy-institute-of-pharmaceutical,Sankar Reddy Institute of Pharmaceutical Sciences,Sankar Reddy Institute of Pharmaceutical Sciences is located in Andhra Pradesh. Sankar Reddy Institute of Pharmaceutical Sciences is working in Higher education (colleges and universities) activities. You can contact the company at 098480 55320. You can find more information about Sankar Reddy Institute of Pharmaceutical Sciences at www.sankarreddypharmacy.in.,['Higher education'],['8530'],"SalakalaveeduVillage,BestavarepetaMandal,Bestavaripeta,AndhraPradesh523370,India",9848055320,www.sankarreddypharmacy.in,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJVVVVVSwntTsR8e1eJ6aInDs,,https://www.google.com/maps/?cid=4295458391811091953,,,,,,
523370,Education,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education/,https://www.cybo.com/IN-biz/z-p-high-school-ravipadu_1O,Z.P.HIGH School Ravipadu,Z.P.HIGH School Ravipadu is located in Andhra Pradesh. Z.P.HIGH School Ravipadu is working in Education other activities. You can contact the company at 098665 57586.,['Educational support activities'],['8550'],"Cumbum-RavipaduRd,Ravipadu,AndhraPradesh523370,India",9866557586,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJQbQfG_EmtTsRLYzgmDo_AwQ,,https://www.google.com/maps/?cid=289144321987349549,,,,,,
523370,Education,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education/,https://www.cybo.com/IN-biz/kalagotla,Kalagotla,"Kalagotla is located in Andhra Pradesh. Kalagotla is working in Education other, Education activities. You can contact the company at 090107 16068.","['Education', 'Educational support activities']","['85', '8550']","RetlaPalle,AndhraPradesh523370,India",9010716068,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJVVVVVUUmtTsRAEniCjmK0uU,,https://www.google.com/maps/?cid=16560450757395106048,,,,,,
523370,Education,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education/,https://www.cybo.com/IN-biz/z-p-high-school-ravipadu,"Z.P High School, Ravipadu.","Z.P High School, Ravipadu. is located in Andhra Pradesh. Z.P High School, Ravipadu. is working in Education other activities.",['Educational support activities'],['8550'],"Ravipadu,AndhraPradesh523370,India",,,andhra pradesh,523370,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJ____P_cmtTsRV9HMc1H8XdM,,https://www.google.com/maps/?cid=15230606941602238807,,,,,,
523370,Education,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education/,https://www.cybo.com/IN-biz/ksr-b-ed-college,Ksr B.ED college,Ksr B.ED college is located in Andhra Pradesh. Ksr B.ED college is working in Education other activities. You can contact the company at 096526 67383.,['Educational support activities'],['8550'],"Cumbum-RavipaduRd,Ravipadu,AndhraPradesh523370,India",9652667383,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJYwc6dMomtTsRV3Vm696hqXw,,https://www.google.com/maps/?cid=8982888910571337047,,,,,,
523370,Education other,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education-other/,https://www.cybo.com/IN-biz/z-p-high-school-ravipadu_1O,Z.P.HIGH School Ravipadu,Z.P.HIGH School Ravipadu is located in Andhra Pradesh. Z.P.HIGH School Ravipadu is working in Education other activities. You can contact the company at 098665 57586.,['Educational support activities'],['8550'],"Cumbum-RavipaduRd,Ravipadu,AndhraPradesh523370,India",9866557586,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJQbQfG_EmtTsRLYzgmDo_AwQ,,https://www.google.com/maps/?cid=289144321987349549,,,,,,
523370,Education other,https://www.cybo.com/IN-pin-code/523370_andhra-pradesh/education-other/,https://www.cybo.com/IN-biz/kalagotla,Kalagotla,"Kalagotla is located in Andhra Pradesh. Kalagotla is working in Education other, Education activities. You can contact the company at 090107 16068.","['Education', 'Educational support activities']","['85', '8550']","RetlaPalle,AndhraPradesh523370,India",9010716068,,andhra pradesh,,andhra pradesh,india,https://www.google.com/maps/embed/v1/place?key=AIzaSyDYvedcGYRbC36tQyQk40XZAwTui51G9uQ&q=place_id:ChIJVVVVVUUmtTsRAEniCjmK0uU,,https://www.google.com/maps/?cid=16560450757395106048,,,,,,
